Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.6099	0.7520	1.3334	0.9155
2	0.8512	0.7997	0.6217	0.7187
3	0.9178	0.9193	0.3958	0.3535
4	0.9507	0.8913	0.2668	0.3910
5	0.9681	0.9477	0.1905	0.2444
6	0.9775	0.9430	0.1475	0.2224
7	0.9843	0.9570	0.1145	0.1832
8	0.9879	0.9590	0.0923	0.1720
9	0.9894	0.9587	0.0821	0.1839
10	0.9932	0.9740	0.0673	0.1116
11	0.9959	0.9747	0.0552	0.1186
12	0.9957	0.9750	0.0514	0.1153
13	0.9965	0.9770	0.0468	0.1117
14	0.9966	0.9783	0.0445	0.1123
15	0.9983	0.9823	0.0350	0.0874
16	0.9991	0.9840	0.0302	0.0776
17	0.9997	0.9827	0.0287	0.0840
18	0.9998	0.9807	0.0276	0.0964
19	0.9995	0.9783	0.0273	0.1027
20	0.9993	0.9850	0.0279	0.0790
21	0.9998	0.9827	0.0253	0.0804
