Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.5447	0.5737	1.4845	1.3205
2	0.7871	0.6990	0.7415	0.8952
3	0.8747	0.6830	0.4786	1.0143
4	0.9191	0.8277	0.3382	0.6353
5	0.9416	0.7913	0.2610	0.7431
6	0.9586	0.8673	0.2048	0.4557
7	0.9679	0.7813	0.1732	0.9423
8	0.9742	0.9143	0.1513	0.3427
9	0.9810	0.8600	0.1250	0.4949
10	0.9810	0.8800	0.1182	0.4257
11	0.9853	0.9737	0.1037	0.1406
12	0.9877	0.9390	0.0947	0.2898
13	0.9890	0.9793	0.0891	0.1240
14	0.9912	0.9693	0.0798	0.1318
15	0.9905	0.9490	0.0790	0.2000
16	0.9935	0.9727	0.0679	0.1234
17	0.9913	0.9740	0.0722	0.1209
18	0.9913	0.9837	0.0737	0.0963
19	0.9938	0.8733	0.0646	0.4848
20	0.9954	0.9520	0.0593	0.2037
21	0.9960	0.9473	0.0555	0.2104
22	0.9953	0.9353	0.0551	0.2780
23	0.9988	0.9510	0.0448	0.1923
