Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.5859	0.5590	1.3790	1.3860
2	0.8215	0.8580	0.6426	0.5489
3	0.8999	0.8060	0.4061	0.5963
4	0.9348	0.9097	0.2841	0.3439
5	0.9565	0.8963	0.2165	0.3723
6	0.9620	0.8750	0.1839	0.4284
7	0.9701	0.9493	0.1517	0.2112
8	0.9743	0.9330	0.1367	0.2407
9	0.9801	0.9783	0.1199	0.1153
10	0.9857	0.9790	0.0962	0.1107
11	0.9828	0.9603	0.1031	0.1608
12	0.9866	0.9437	0.0897	0.2273
13	0.9861	0.9173	0.0905	0.2753
14	0.9905	0.9587	0.0767	0.1748
15	0.9956	0.9793	0.0598	0.0976
16	0.9959	0.9743	0.0550	0.1221
17	0.9963	0.9843	0.0544	0.0833
18	0.9970	0.9733	0.0514	0.1220
19	0.9981	0.9740	0.0491	0.1169
20	0.9983	0.9717	0.0448	0.1258
21	0.9954	0.9877	0.0534	0.0805
22	0.9970	0.9707	0.0470	0.1384
23	0.9965	0.9897	0.0491	0.0701
24	0.9971	0.9760	0.0476	0.1068
25	0.9961	0.9720	0.0483	0.1052
26	0.9955	0.9833	0.0500	0.0893
27	0.9978	0.9863	0.0429	0.0740
28	0.9987	0.9897	0.0380	0.0704
