Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.6333	0.4777	1.2545	1.5225
2	0.8428	0.6653	0.5602	1.1861
3	0.9013	0.9077	0.3765	0.3484
4	0.9361	0.7147	0.2692	1.1169
5	0.9495	0.8857	0.2227	0.4222
6	0.9671	0.8953	0.1736	0.3477
7	0.9718	0.8807	0.1561	0.4274
8	0.9770	0.9590	0.1398	0.1923
9	0.9817	0.9310	0.1243	0.2701
10	0.9791	0.8347	0.1296	0.6718
11	0.9809	0.9323	0.1240	0.2623
12	0.9865	0.9110	0.1016	0.3116
13	0.9917	0.9630	0.0873	0.1697
14	0.9928	0.9603	0.0836	0.1746
15	0.9931	0.9830	0.0813	0.1086
16	0.9943	0.9500	0.0763	0.2120
17	0.9951	0.9840	0.0735	0.1110
18	0.9961	0.9797	0.0713	0.1239
19	0.9955	0.9760	0.0715	0.1297
20	0.9966	0.9653	0.0671	0.1667
