Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.3725      0.5267         2.2027      1.5226      
2     0.6133      0.7933         1.3007      0.7519      
3     0.7312      0.8137         0.9426      0.6862      
4     0.8067      0.8660         0.7328      0.5195      
5     0.8428      0.8867         0.6032      0.4798      
6     0.8760      0.9090         0.5082      0.3936      
7     0.9021      0.9097         0.4226      0.4127      
8     0.9194      0.9403         0.3722      0.3081      
9     0.9307      0.9403         0.3334      0.3113      
10    0.9411      0.9483         0.2991      0.2780      
11    0.9461      0.9423         0.2771      0.3131      
12    0.9579      0.9553         0.2494      0.2690      
13    0.9598      0.9490         0.2372      0.2992      
14    0.9648      0.9540         0.2178      0.2635      
15    0.9643      0.9553         0.2174      0.2646      
16    0.9719      0.9487         0.1972      0.3167      
17    0.9731      0.9587         0.1882      0.2515      
18    0.9764      0.9510         0.1833      0.2775      
19    0.9753      0.9670         0.1799      0.2214      
20    0.9782      0.9333         0.1689      0.3386      
21    0.9811      0.9650         0.1588      0.2226      
22    0.9804      0.9607         0.1569      0.2555      
23    0.9877      0.9710         0.1389      0.2026      
24    0.9894      0.9720         0.1300      0.2082      
25    0.9923      0.9730         0.1222      0.2071      
26    0.9913      0.9673         0.1240      0.2294      
27    0.9913      0.9733         0.1191      0.1926      
28    0.9945      0.9737         0.1121      0.1982      
29    0.9939      0.9733         0.1124      0.1919      
30    0.9952      0.9760         0.1079      0.1792      
31    0.9938      0.9767         0.1113      0.1828      
32    0.9951      0.9757         0.1076      0.1786      
33    0.9955      0.9767         0.1045      0.1859      
34    0.9937      0.9760         0.1079      0.1812      
35    0.9949      0.9777         0.1051      0.1692      
36    0.9957      0.9747         0.1030      0.1798      
37    0.9949      0.9723         0.1035      0.1858      
38    0.9959      0.9730         0.1000      0.1825      
39    0.9959      0.9750         0.1002      0.1733      
40    0.9962      0.9797         0.0987      0.1660      
41    0.9963      0.9777         0.0970      0.1675      
42    0.9961      0.9760         0.0951      0.1711      
43    0.9969      0.9787         0.0955      0.1662      
44    0.9973      0.9780         0.0932      0.1652      
45    0.9981      0.9763         0.0912      0.1693      
46    0.9973      0.9757         0.0946      0.1721      
47    0.9972      0.9787         0.0915      0.1666      
48    0.9977      0.9787         0.0909      0.1680      
49    0.9973      0.9777         0.0921      0.1704      
50    0.9975      0.9780         0.0918      0.1651      
