Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.3130      0.4773         2.3968      1.5330      
2     0.5826      0.6683         1.2609      0.9820      
3     0.7036      0.7450         0.8804      0.7688      
4     0.7797      0.8153         0.6840      0.5994      
5     0.8271      0.8493         0.5347      0.4439      
6     0.8666      0.8747         0.4067      0.4123      
7     0.8943      0.9007         0.3320      0.3291      
8     0.9171      0.9043         0.2605      0.3270      
9     0.9325      0.9037         0.2101      0.3255      
10    0.9307      0.9047         0.2155      0.3474      
11    0.9342      0.8923         0.2018      0.3618      
12    0.9415      0.9360         0.1826      0.2361      
13    0.9579      0.9113         0.1287      0.3196      
14    0.9638      0.9213         0.1159      0.2824      
15    0.9693      0.9343         0.0968      0.2772      
16    0.9689      0.9303         0.0924      0.2689      
17    0.9841      0.9547         0.0490      0.1867      
18    0.9921      0.9590         0.0233      0.1934      
19    0.9933      0.9603         0.0202      0.1761      
20    0.9940      0.9587         0.0196      0.1963      
21    0.9972      0.9607         0.0113      0.1921      
22    0.9955      0.9580         0.0147      0.1987      
23    0.9914      0.9563         0.0250      0.2086      
24    0.9977      0.9640         0.0093      0.1802      
