Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.5445      0.3303         1.4865      2.2126      
2     0.8183      0.5750         0.6609      1.6566      
3     0.8914      0.7667         0.4192      0.9139      
4     0.9261      0.7677         0.3049      0.8058      
5     0.9420      0.7867         0.2484      0.6698      
6     0.9561      0.8803         0.2001      0.4159      
7     0.9683      0.7867         0.1563      0.7208      
8     0.9724      0.7823         0.1365      0.8079      
9     0.9748      0.8607         0.1266      0.5168      
10    0.9810      0.7723         0.1055      0.9174      
11    0.9941      0.9330         0.0641      0.2443      
12    0.9965      0.8970         0.0540      0.3583      
13    0.9977      0.8733         0.0488      0.4975      
14    0.9975      0.8793         0.0471      0.4165      
15    0.9980      0.8727         0.0443      0.4923      
16    0.9989      0.9277         0.0391      0.2826      
17    0.9989      0.9393         0.0378      0.2293      
18    0.9997      0.9330         0.0347      0.2759      
19    0.9997      0.9350         0.0340      0.2609      
20    0.9999      0.9373         0.0320      0.2338      
21    0.9999      0.9457         0.0310      0.2180      
22    0.9998      0.9350         0.0301      0.2275      
23    0.9997      0.9083         0.0292      0.3588      
24    0.9999      0.9463         0.0279      0.2058      
25    0.9993      0.9323         0.0285      0.3066      
26    0.9998      0.9240         0.0262      0.2568      
27    0.9999      0.9340         0.0249      0.2551      
28    0.9999      0.9360         0.0236      0.2635      
29    0.9999      0.9483         0.0222      0.2188      
30    1.0000      0.9497         0.0213      0.2213      
31    0.9999      0.9457         0.0207      0.2362      
32    1.0000      0.9430         0.0202      0.2459      
