Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.5943	0.1737	1.3714	5.3870
2	0.8245	0.6173	0.6910	1.2898
3	0.9033	0.6847	0.4478	1.0425
4	0.9367	0.7503	0.3200	0.8199
5	0.9575	0.7447	0.2385	0.8089
6	0.9679	0.7293	0.1829	0.8743
7	0.9771	0.7287	0.1452	0.9111
8	0.9841	0.8127	0.1179	0.7036
9	0.9857	0.7847	0.1027	0.6688
10	0.9911	0.7693	0.0812	0.7826
11	0.9911	0.8133	0.0741	0.7409
12	0.9937	0.8250	0.0638	0.5981
13	0.9935	0.7750	0.0590	0.7918
14	0.9957	0.7947	0.0516	0.7194
15	0.9971	0.8023	0.0425	0.7053
16	0.9975	0.7950	0.0430	0.7158
17	0.9992	0.8277	0.0321	0.6034
