Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.6077	0.5337	1.2990	1.5168
2	0.8359	0.7240	0.6078	0.9027
3	0.9045	0.7020	0.3877	0.9314
4	0.9384	0.8030	0.2775	0.7302
5	0.9572	0.7497	0.2116	0.9027
6	0.9622	0.8117	0.1790	0.6568
7	0.9720	0.7300	0.1476	1.1064
8	0.9748	0.8350	0.1309	0.5422
9	0.9800	0.6917	0.1172	1.3338
10	0.9847	0.7220	0.1018	0.9963
11	0.9870	0.8170	0.0896	0.6252
12	0.9876	0.7657	0.0864	0.9757
13	0.9942	0.8630	0.0615	0.5197
14	0.9936	0.8543	0.0616	0.5318
15	0.9963	0.8573	0.0534	0.5444
16	0.9962	0.8890	0.0541	0.3888
17	0.9961	0.8397	0.0551	0.5911
18	0.9971	0.7757	0.0504	0.8692
19	0.9962	0.8400	0.0500	0.5549
20	0.9969	0.8827	0.0474	0.4104
21	0.9983	0.9217	0.0428	0.2736
22	0.9986	0.8843	0.0409	0.4401
23	0.9990	0.8310	0.0392	0.5810
24	0.9986	0.8460	0.0393	0.5221
25	0.9990	0.8780	0.0374	0.4628
26	0.9996	0.9090	0.0359	0.3682
27	0.9997	0.9037	0.0355	0.3659
28	0.9995	0.8777	0.0350	0.4549
29	0.9997	0.8850	0.0347	0.4571
30	0.9995	0.9223	0.0346	0.3010
31	0.9996	0.9457	0.0341	0.2270
32	0.9997	0.8670	0.0338	0.4925
33	1.0000	0.9073	0.0327	0.3766
34	0.9997	0.9097	0.0324	0.3575
35	0.9998	0.9060	0.0329	0.3625
36	0.9996	0.9313	0.0328	0.2639
37	0.9998	0.8993	0.0324	0.3878
38	0.9997	0.9050	0.0317	0.3829
39	0.9999	0.9097	0.0317	0.3468
40	0.9998	0.8957	0.0318	0.3918
41	0.9997	0.8910	0.0320	0.4048
42	0.9997	0.9210	0.0317	0.3066
43	0.9999	0.9120	0.0312	0.3429
44	0.9996	0.9127	0.0314	0.3451
45	0.9999	0.9097	0.0310	0.3540
46	0.9999	0.9050	0.0307	0.3691
47	0.9998	0.9003	0.0310	0.3758
48	0.9998	0.9157	0.0309	0.3346
49	0.9998	0.9073	0.0311	0.3529
50	0.9997	0.9083	0.0308	0.3604
