Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.3938	0.4917	2.0788	2.1285
2	0.6700	0.5183	1.1108	1.5906
3	0.7740	0.7720	0.7991	0.7716
4	0.8383	0.6913	0.5975	1.2375
5	0.8774	0.8063	0.4848	0.6754
6	0.9029	0.8750	0.3945	0.4901
7	0.9217	0.8550	0.3344	0.5224
8	0.9402	0.8980	0.2746	0.4096
9	0.9510	0.8913	0.2404	0.3846
10	0.9599	0.9260	0.2097	0.3034
11	0.9652	0.8397	0.1956	0.5430
12	0.9651	0.8280	0.1875	0.5965
13	0.9725	0.9153	0.1633	0.3160
14	0.9774	0.9340	0.1425	0.2439
15	0.9803	0.9067	0.1337	0.3576
16	0.9804	0.9203	0.1279	0.2912
17	0.9819	0.9443	0.1266	0.2178
18	0.9835	0.9003	0.1183	0.4283
19	0.9825	0.9510	0.1170	0.1971
20	0.9873	0.9340	0.1024	0.2591
21	0.9923	0.9293	0.0905	0.2519
22	0.9875	0.8797	0.1009	0.4514
23	0.9910	0.9167	0.0890	0.3200
24	0.9945	0.9293	0.0755	0.2923
