Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.2080      0.3330         3.4281      2.0081      
2     0.4200      0.4830         1.7881      1.5885      
3     0.5345      0.5657         1.4254      1.3383      
4     0.6209      0.6390         1.1812      1.1384      
5     0.6827      0.6937         0.9988      0.9783      
6     0.7275      0.7067         0.8657      0.8982      
7     0.7613      0.7557         0.7591      0.8048      
8     0.7914      0.7670         0.6667      0.7431      
9     0.8102      0.7880         0.5981      0.6718      
10    0.8353      0.7993         0.5317      0.6330      
11    0.8501      0.8133         0.4825      0.5965      
12    0.8686      0.8197         0.4282      0.5600      
13    0.8782      0.8323         0.3953      0.5227      
14    0.8944      0.8313         0.3562      0.5147      
15    0.9008      0.8573         0.3220      0.4610      
16    0.9123      0.8533         0.2915      0.4505      
17    0.9185      0.8643         0.2694      0.4187      
18    0.9269      0.8597         0.2484      0.4202      
19    0.9343      0.8623         0.2192      0.4263      
20    0.9417      0.8770         0.2036      0.4002      
21    0.9469      0.8847         0.1854      0.3661      
22    0.9541      0.8840         0.1662      0.3688      
23    0.9565      0.8980         0.1568      0.3286      
24    0.9615      0.8950         0.1404      0.3453      
25    0.9649      0.8990         0.1301      0.3431      
26    0.9693      0.8937         0.1159      0.3478      
27    0.9722      0.9040         0.1081      0.3199      
28    0.9742      0.9067         0.1006      0.3148      
29    0.9812      0.9107         0.0848      0.3095      
30    0.9827      0.9150         0.0770      0.3107      
