Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.1803      0.3270         3.1455      2.0665      
2     0.4179      0.5033         1.7763      1.5807      
3     0.5655      0.6023         1.3593      1.2843      
4     0.6572      0.6703         1.0775      1.0421      
5     0.7301      0.7197         0.8635      0.9026      
6     0.7794      0.7487         0.7179      0.8039      
7     0.8069      0.7797         0.6120      0.7082      
8     0.8411      0.8033         0.5247      0.6208      
9     0.8629      0.8177         0.4485      0.5832      
10    0.8827      0.8190         0.3907      0.5840      
11    0.8999      0.8433         0.3427      0.4983      
12    0.9145      0.8667         0.2956      0.4426      
13    0.9229      0.8510         0.2673      0.4842      
14    0.9360      0.8697         0.2311      0.4418      
15    0.9412      0.8757         0.2067      0.4111      
16    0.9519      0.8837         0.1785      0.3890      
17    0.9593      0.8857         0.1555      0.3928      
18    0.9613      0.8910         0.1428      0.3693      
19    0.9660      0.8920         0.1286      0.3665      
20    0.9726      0.8893         0.1100      0.3917      
21    0.9778      0.8993         0.0939      0.3476      
22    0.9813      0.8987         0.0824      0.3499      
23    0.9845      0.9033         0.0742      0.3266      
24    0.9859      0.9027         0.0661      0.3293      
25    0.9887      0.9027         0.0548      0.3375      
26    0.9904      0.9147         0.0488      0.3281      
27    0.9927      0.9120         0.0427      0.2970      
28    0.9933      0.9143         0.0370      0.3197      
29    0.9951      0.9163         0.0320      0.2965      
30    0.9942      0.9113         0.0340      0.3253      
31    0.9925      0.9183         0.0372      0.3151      
32    0.9971      0.9257         0.0232      0.2852      
33    0.9985      0.9257         0.0158      0.2814      
34    0.9988      0.9270         0.0154      0.2857      
35    0.9993      0.9270         0.0127      0.2915      
36    0.9992      0.9150         0.0121      0.3224      
37    0.9991      0.9293         0.0125      0.2887      
38    0.9997      0.9347         0.0080      0.2703      
39    0.9999      0.9343         0.0059      0.2744      
40    0.9999      0.9343         0.0056      0.2727      
41    0.9999      0.9383         0.0052      0.2739      
42    0.9999      0.9360         0.0050      0.2740      
43    1.0000      0.9350         0.0044      0.2784      
