Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.7526      0.1233         0.9132      6.9183      
2     0.9096      0.1027         0.4071      7.8954      
3     0.9421      0.1510         0.2930      6.4110      
4     0.9566      0.3900         0.2379      3.6700      
5     0.9635      0.8133         0.2064      0.8403      
6     0.9740      0.6743         0.1697      1.3658      
7     0.9749      0.5257         0.1555      2.5929      
8     0.9806      0.9253         0.1345      0.2953      
9     0.9811      0.8137         0.1249      0.8464      
10    0.9883      0.8330         0.1049      0.6991      
11    0.9842      0.8157         0.1109      0.7240      
12    0.9881      0.7157         0.0955      1.1351      
13    0.9947      0.9223         0.0714      0.2904      
14    0.9974      0.9677         0.0581      0.1463      
15    0.9978      0.9423         0.0539      0.2139      
16    0.9987      0.9520         0.0492      0.1889      
17    0.9993      0.9457         0.0440      0.2000      
18    0.9996      0.9357         0.0404      0.2375      
19    0.9996      0.9597         0.0381      0.1533      
20    0.9997      0.9750         0.0362      0.1027      
21    0.9999      0.9747         0.0342      0.1048      
22    0.9999      0.9727         0.0328      0.1079      
23    0.9998      0.9790         0.0314      0.0948      
24    1.0000      0.9740         0.0295      0.1015      
25    0.9999      0.9763         0.0281      0.0993      
26    1.0000      0.9790         0.0265      0.0911      
27    1.0000      0.9697         0.0250      0.1098      
28    0.9999      0.9583         0.0242      0.1369      
29    1.0000      0.9807         0.0225      0.0755      
30    0.9991      0.8910         0.0241      0.3918      
31    0.9978      0.8607         0.0289      0.6174      
32    0.9979      0.9243         0.0278      0.2863      
33    0.9971      0.6953         0.0285      1.3326      
34    0.9995      0.9763         0.0207      0.0902      
35    0.9999      0.9743         0.0186      0.1005      
36    0.9999      0.9727         0.0177      0.0980      
37    0.9999      0.9817         0.0170      0.0734      
38    0.9999      0.9720         0.0163      0.0988      
39    1.0000      0.9767         0.0156      0.0858      
40    1.0000      0.9800         0.0150      0.0750      
41    1.0000      0.9777         0.0146      0.0784      
42    1.0000      0.9790         0.0140      0.0751      
43    1.0000      0.9777         0.0136      0.0807      
44    1.0000      0.9800         0.0132      0.0730      
45    1.0000      0.9813         0.0129      0.0678      
46    1.0000      0.9793         0.0126      0.0735      
47    1.0000      0.9813         0.0122      0.0684      
48    1.0000      0.9833         0.0119      0.0622      
49    1.0000      0.9797         0.0115      0.0763      
50    1.0000      0.9803         0.0112      0.0683      
