Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.9033    0.9893    0.5972    0.1210    
2     0.9901    0.9953    0.0959    0.0583    
3     0.9942    0.9960    0.0532    0.0381    
4     0.9968    0.9960    0.0357    0.0283    
5     0.9981    0.9967    0.0263    0.0225    
6     0.9989    0.9973    0.0204    0.0187    
7     0.9991    0.9973    0.0164    0.0160    
8     0.9993    0.9973    0.0135    0.0140    
9     0.9995    0.9977    0.0114    0.0124    
10    0.9997    0.9977    0.0098    0.0111    
11    0.9998    0.9977    0.0084    0.0101    
12    0.9999    0.9977    0.0074    0.0092    
13    0.9999    0.9977    0.0065    0.0084    
14    0.9999    0.9977    0.0058    0.0078    
15    0.9999    0.9980    0.0052    0.0072    
16    0.9999    0.9980    0.0047    0.0068    
17    0.9999    0.9983    0.0042    0.0063    
18    0.9999    0.9983    0.0038    0.0060    
19    0.9999    0.9983    0.0035    0.0056    
20    0.9999    0.9983    0.0032    0.0053    
