Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.8983    0.9880    0.4727    0.0829    
2     0.9900    0.9957    0.0705    0.0426    
3     0.9952    0.9970    0.0410    0.0291    
4     0.9968    0.9973    0.0281    0.0222    
5     0.9977    0.9977    0.0209    0.0181    
6     0.9986    0.9980    0.0164    0.0153    
7     0.9987    0.9980    0.0132    0.0133    
8     0.9992    0.9983    0.0109    0.0118    
9     0.9995    0.9987    0.0091    0.0106    
10    0.9995    0.9987    0.0078    0.0097    
11    0.9997    0.9987    0.0067    0.0090    
12    0.9999    0.9987    0.0058    0.0084    
13    0.9999    0.9987    0.0051    0.0079    
14    0.9999    0.9987    0.0045    0.0074    
15    0.9999    0.9987    0.0040    0.0071    
16    0.9999    0.9987    0.0035    0.0067    
17    0.9999    0.9990    0.0032    0.0064    
18    0.9999    0.9990    0.0028    0.0062    
19    1.0000    0.9993    0.0026    0.0060    
20    1.0000    0.9993    0.0023    0.0057    
