Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.9209    0.9957    0.3423    0.0420    
2     0.9963    0.9970    0.0372    0.0213    
3     0.9985    0.9977    0.0202    0.0141    
4     0.9992    0.9987    0.0129    0.0106    
5     0.9995    0.9987    0.0091    0.0086    
6     0.9997    0.9990    0.0068    0.0073    
7     0.9999    0.9990    0.0052    0.0063    
8     1.0000    0.9990    0.0042    0.0057    
9     1.0000    0.9990    0.0034    0.0052    
10    1.0000    0.9990    0.0029    0.0047    
11    1.0000    0.9990    0.0025    0.0044    
12    1.0000    0.9990    0.0021    0.0041    
13    1.0000    0.9990    0.0018    0.0038    
14    1.0000    0.9990    0.0016    0.0036    
15    1.0000    0.9993    0.0014    0.0034    
16    1.0000    0.9993    0.0013    0.0033    
17    1.0000    0.9993    0.0011    0.0031    
18    1.0000    0.9993    0.0010    0.0030    
19    1.0000    0.9993    0.0009    0.0029    
20    1.0000    0.9993    0.0008    0.0028    
