Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.7033      0.0527         1.1209      2.8794      
2     0.8952      0.1167         0.5180      3.7238      
3     0.9339      0.1283         0.3708      4.6102      
4     0.9536      0.3480         0.3010      2.2695      
5     0.9662      0.8613         0.2491      0.5726      
6     0.9737      0.8923         0.2161      0.4468      
7     0.9794      0.9223         0.1905      0.3481      
8     0.9800      0.8920         0.1786      0.4326      
9     0.9847      0.8867         0.1592      0.4498      
10    0.9890      0.8980         0.1445      0.4349      
11    0.9904      0.8820         0.1376      0.4496      
12    0.9939      0.9360         0.1192      0.3003      
13    0.9956      0.9197         0.1113      0.3279      
14    0.9965      0.9393         0.1066      0.2946      
15    0.9974      0.9293         0.1031      0.3128      
16    0.9967      0.9320         0.1045      0.3166      
17    0.9979      0.9277         0.0989      0.3158      
18    0.9977      0.9267         0.0977      0.3093      
19    0.9985      0.9463         0.0932      0.2633      
20    0.9988      0.9473         0.0920      0.2561      
