Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.8967    0.9947    0.4818    0.0234    
2     0.9970    0.9973    0.0158    0.0087    
3     0.9993    0.9977    0.0052    0.0056    
4     0.9999    0.9980    0.0021    0.0045    
5     1.0000    0.9980    0.0010    0.0040    
6     1.0000    0.9980    0.0006    0.0037    
7     1.0000    0.9980    0.0004    0.0035    
8     1.0000    0.9980    0.0003    0.0033    
9     1.0000    0.9980    0.0002    0.0030    
10    1.0000    0.9980    0.0002    0.0028    
11    1.0000    0.9980    0.0001    0.0027    
12    1.0000    0.9980    0.0001    0.0025    
13    1.0000    0.9980    0.0001    0.0024    
14    1.0000    0.9987    0.0001    0.0023    
15    1.0000    0.9987    0.0001    0.0023    
16    1.0000    0.9990    0.0000    0.0022    
17    1.0000    0.9990    0.0000    0.0021    
18    1.0000    0.9990    0.0000    0.0021    
19    1.0000    0.9990    0.0000    0.0020    
20    1.0000    0.9990    0.0000    0.0020    
