Epoch Acc           Val_Acc       Loss          Val_Loss      
1     0.89213336    0.99566668    0.48760885    0.01845749    
2     0.99739999    0.99900001    0.01429287    0.00657108    
3     0.99933332    0.99900001    0.00472075    0.00405838    
4     0.99993336    0.99866664    0.00195195    0.00364326    
5     0.99993336    0.99833333    0.00106173    0.00333635    
6     0.99993336    0.99866664    0.00060821    0.00305328    
7     1.00000000    0.99900001    0.00037338    0.00273142    
8     1.00000000    0.99900001    0.00026167    0.00244999    
9     1.00000000    0.99900001    0.00019438    0.00225977    
10    1.00000000    0.99900001    0.00014996    0.00212477    
11    1.00000000    0.99900001    0.00011895    0.00202143    
12    1.00000000    0.99900001    0.00009635    0.00194081    
13    1.00000000    0.99900001    0.00007938    0.00187416    
14    1.00000000    0.99900001    0.00006630    0.00181894    
15    1.00000000    0.99900001    0.00005599    0.00177242    
16    1.00000000    0.99900001    0.00004775    0.00173263    
17    1.00000000    0.99933332    0.00004107    0.00169953    
18    1.00000000    0.99933332    0.00003558    0.00167021    
19    1.00000000    0.99933332    0.00003101    0.00164510    
20    1.00000000    0.99933332    0.00002719    0.00162241    
