Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.9402    0.9943    0.2257    0.0244    
2     0.9967    0.9953    0.0174    0.0152    
3     0.9983    0.9977    0.0087    0.0095    
4     0.9998    0.9990    0.0031    0.0062    
5     1.0000    0.9993    0.0013    0.0039    
6     1.0000    0.9993    0.0008    0.0034    
7     1.0000    0.9993    0.0006    0.0032    
8     1.0000    0.9993    0.0005    0.0030    
9     1.0000    0.9993    0.0004    0.0028    
10    1.0000    0.9993    0.0003    0.0027    
11    1.0000    0.9993    0.0003    0.0026    
12    1.0000    0.9993    0.0002    0.0025    
13    1.0000    0.9993    0.0002    0.0024    
14    1.0000    0.9993    0.0002    0.0023    
15    1.0000    0.9993    0.0002    0.0023    
16    1.0000    0.9993    0.0001    0.0022    
17    1.0000    0.9993    0.0001    0.0021    
18    1.0000    0.9993    0.0001    0.0021    
19    1.0000    0.9993    0.0001    0.0021    
20    1.0000    0.9993    0.0001    0.0020    
