Epoch Acc           Val_Acc       Loss          Val_Loss      
1     0.93413335    0.99366665    0.24102922    0.02979809    
2     0.99699998    0.99733335    0.01554441    0.01208434    
3     0.99919999    0.99666667    0.00658282    0.00914473    
4     0.99966669    0.99800003    0.00394393    0.00665461    
5     0.99986666    0.99866664    0.00175934    0.00450930    
6     1.00000000    0.99900001    0.00086274    0.00394147    
7     1.00000000    0.99900001    0.00050832    0.00387613    
8     1.00000000    0.99900001    0.00038507    0.00353601    
9     1.00000000    0.99900001    0.00031581    0.00334635    
10    1.00000000    0.99900001    0.00026556    0.00316994    
11    1.00000000    0.99900001    0.00022695    0.00301918    
12    1.00000000    0.99900001    0.00019617    0.00287774    
13    1.00000000    0.99900001    0.00017105    0.00275403    
14    1.00000000    0.99900001    0.00015024    0.00264003    
15    1.00000000    0.99900001    0.00013277    0.00253922    
16    1.00000000    0.99900001    0.00011794    0.00244517    
17    1.00000000    0.99900001    0.00010524    0.00235868    
18    1.00000000    0.99900001    0.00009426    0.00227553    
19    1.00000000    0.99900001    0.00008473    0.00219881    
20    1.00000000    0.99900001    0.00007642    0.00212667    
