Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.9360    0.9953    0.2242    0.0110    
2     0.9991    0.9980    0.0046    0.0044    
3     0.9996    0.9997    0.0016    0.0009    
4     1.0000    0.9997    0.0000    0.0008    
5     1.0000    0.9997    0.0000    0.0008    
6     1.0000    0.9997    0.0000    0.0007    
7     1.0000    0.9997    0.0000    0.0007    
8     1.0000    0.9997    0.0000    0.0007    
9     1.0000    0.9997    0.0000    0.0007    
10    1.0000    0.9997    0.0000    0.0007    
11    1.0000    0.9997    0.0000    0.0007    
12    1.0000    0.9997    0.0000    0.0007    
13    1.0000    0.9997    0.0000    0.0007    
14    1.0000    0.9997    0.0000    0.0006    
15    1.0000    0.9997    0.0000    0.0006    
16    1.0000    0.9997    0.0000    0.0006    
17    1.0000    0.9997    0.0000    0.0006    
18    1.0000    0.9997    0.0000    0.0006    
19    1.0000    0.9997    0.0000    0.0006    
20    1.0000    0.9997    0.0000    0.0006    
