Epoch Acc           Val_Acc       Loss          Val_Loss      
1     0.93873334    0.99500000    0.20745111    0.01334945    
2     0.99933332    0.99833333    0.00221095    0.00550294    
3     0.99993336    0.99800003    0.00044664    0.00554682    
4     1.00000000    0.99833333    0.00003608    0.00505465    
5     1.00000000    0.99833333    0.00002058    0.00493487    
6     1.00000000    0.99833333    0.00001449    0.00483586    
7     1.00000000    0.99833333    0.00001085    0.00475673    
8     1.00000000    0.99833333    0.00000844    0.00469477    
9     1.00000000    0.99833333    0.00000676    0.00463885    
10    1.00000000    0.99833333    0.00000552    0.00459307    
11    1.00000000    0.99833333    0.00000459    0.00455216    
12    1.00000000    0.99833333    0.00000387    0.00451370    
13    1.00000000    0.99833333    0.00000330    0.00447753    
14    1.00000000    0.99833333    0.00000284    0.00444369    
15    1.00000000    0.99833333    0.00000246    0.00441724    
16    1.00000000    0.99833333    0.00000219    0.00439061    
17    1.00000000    0.99833333    0.00000205    0.00437119    
18    1.00000000    0.99833333    0.00000192    0.00435814    
19    1.00000000    0.99833333    0.00000179    0.00434928    
20    1.00000000    0.99833333    0.00000169    0.00433853    
